Page Name,Post Created,Shares,Message,URL
Mondoweiss,2023-11-05 22:56:36 EST,4346,"An estimated 300,000 protesters from across the United States took to the capital city of Washington, D.C. on Saturday,November 4th to demand an immediate ceasefire and an end to the US-funded Israeli genocide in Gaza. #Palestine #Gaza #CeasefireNOW #OperationAlAqsaFlood #AlAqsaFlood #Israel #occupation #apartheid #colonization #settlements #WestBank #GazaStrip #IDF #IsraelDefenseForce #MiddleEast #HumanRights #InternationalLaw #arrests #violence #illegal #FreePalestine",https://www.facebook.com/100064062786653/posts/737265021752251
BreakThrough News,2023-10-27 12:10:13 EDT,8004,"The world stands with Palestine. At the UN Security Council, the majority of Member States condemned the Israeli siege and many denounced the US for blocking ceasefire resolutions that would halt genocide against Palestinians in Gaza.",https://www.facebook.com/100063750150699/posts/823563959778602
AJ+,2023-11-04 19:12:24 EDT,5916,"“What is going on today in our name as American citizens is genocide.” Tens of thousands of people marched in Washington, DC, to protest Israel’s killing of nearly 10,000 people in Gaza.",https://www.facebook.com/100064529598989/posts/723251456502501
Mondoweiss,2023-10-27 22:37:05 EDT,6005,"We are witnessing a genocide unfold before our eyes in real time. The events of the past 24 hours prove nothing short of that fact: from Israeli & American officials priming the world for the bombing of hospitals, to the occupying power cutting off communications to a besieged population. Today the Biden administration said it would drawn no red lines for Israel. Tonight we are witnessing that in action. Stop the genocide. Ceasefire Now. End the Occupation. �� #Palestine #Gaza #CeasefireNOW #OperationAlAqsaFlood #AlAqsaFlood #Israel #occupation #apartheid #colonization #settlements #WestBank #GazaStrip #IDF #IsraelDefenseForce #MiddleEast #HumanRights #InternationalLaw #arrests #violence #illegal #FreePalestine",https://www.facebook.com/100064062786653/posts/732156185596468
Mondoweiss,2023-10-19 12:31:27 EDT,8121,"The mainstream media has the blood of this 6-year-old Palestinian-American boy on its hands. Fanning the flames of genocide, and routinely broadcasting anti-Palestinian and anti-Muslim rhetoric has endless consequences. This young boy's life is one of them. #Israel #Palestine #occupation #apartheid #colonization #settlements #WestBank #Gaza #GazaStrip #IDF #IsraelDefenseForce #MiddleEast #HumanRights #InternationalLaw #arrests #violence #illegal #FreePalestine #GreatReturnMarch #Media #MainstreamMedia #CNN",https://www.facebook.com/100064062786653/posts/727228389422581
Mondoweiss,2023-11-14 08:26:35 EST,4448,“Don’t commit genocide in my name.” Jewish-American activist sends a message to President Joe Biden. #Judaism #Jewish #zionism #Israel #Palestine #occupation #democracy #freespeech #genocidejoe #DCprotest #Gaza #freepalestine,https://www.facebook.com/100064062786653/posts/741827091296044
What’s Pissing Me Off Today?,2023-11-01 22:30:19 EDT,1871,Israel & Gaza: A Tragicomedy in Infinite Acts. Make it make sense. I just want innocent people to stop getting massacred. I just want peace. #ceasefire #peace #israel #palestine #gaza #refugeecamp #refugees #westbank #hamas #usa #america #genocide #apartheid #Netanyahu #freepalestine #civilians #wpmot,https://www.facebook.com/100063527675297/posts/830155609112021
AJ+,2023-11-10 09:31:20 EST,2799,Are there any similarities between the Bosnian genocide and what’s happening in Gaza? This Bosnian journalist says yes.,https://www.facebook.com/100064529598989/posts/725948762899437
AJ+,2023-10-16 17:19:00 EDT,719,"Leaders and governments across Latin America are condemning Israel's attacks on Gaza. ⁣ ⁣ Colombian Pres. Gustavo Petro gave his support to the occupied Palestinian territories and threatened to suspend diplomatic relations with Israel, saying, “If we have to suspend foreign relations with Israel, we will suspend them. We do not support genocides. The president of Colombia will not be insulted.” In response, Israel put all military sales to Colombia on hold. On X, formerly Twitter, Colombia’s foreign minister also called for Israel’s ambassador to leave the country. ⁣ ⁣ The potential move by Colombia would follow a long history of Latin American countries supporting Palestinian rights. ⁣ ⁣ The governments of Bolivia and Venezuela cut ties with Israel in 2009 in protest of the country’s attacks on Gaza in 2008–9. ⁣ ⁣ Mexico and Brazil have both called for a peaceful political solution. ⁣ ⁣ Leaders in Venezuela, Chile, Cuba and Nicaragua have put out statements condemning attacks on civilians and saying that the cause of the violence is Israel’s continued abuse of Palestinian’s rights. ⁣ ⁣ Bolivia’s government also put out a statement calling for the de-escalation of violence and called out the UN for its inaction. Former president of Bolivia Evo Morales expressed his support for Palestinians and condemned Israel’s occupation of the Palestinian territories. ⁣",https://www.facebook.com/100064529598989/posts/711890594305254
AJ+,2023-10-27 17:07:56 EDT,977,"Brazilian President Luiz Lula Inácio da Silva called out Israel’s bombardment of Gaza, labeling it a “genocide.”",https://www.facebook.com/100064529598989/posts/718744076953239
